Ноутбук ASUS X543UB-DM1175 (90NB0IM7-M16630),от 11 599 грн. ,Тип - Ноутбук Тип процессора - 7020U Частота - 2.3 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/asus/asus_x543ub-dm1175_90nb0im7-m16630/catc839t14m4161023.html,https:/images/preload.gif
Ноутбук Acer Aspire 5 A515-54G-34HW (NX.HDGEU.019),от 14 699 грн. ,Тип - Ноутбук Тип процессора - 8145U Частота - 2.1 - 3.9 ГГц ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/acer/acer_aspire_5_a515-54g-34hw_nx_hdgeu_019/catc839t14m4165208.html,https:/images/preload.gif
Ноутбук Lenovo IdeaPad 330-15IKBR (81DE01HURA),от 11 778 грн. ,"Тип - Ноутбук Тип процессора - Intel Core i3-7020 Частота - 2,3 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.",https://price.ua/lenovo/lenovo_ideapad_330-15ikbr_81de01hura/catc839t14m3710614.html,https:/images/preload.gif
Ноутбук Dell Inspiron 3583 (I3558S2NIL-74B),от 14 380 грн. ,Тип - Ноутбук Тип процессора - Core i5 8265U Частота - 1.6 - 3.9 ГГц ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/dell/dell_inspiron_3583_i3558s2nil-74b/catc839t14m4120698.html,https:/images/preload.gif
Ноутбук Acer Nitro 5 AN515-53-52FA (NH.Q3ZAA.001),от 16 899 грн. ,"Тип - Ноутбук Тип процессора - 8300H Частота - 2,3 - 4,0 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.",https://price.ua/acer/acer_nitro_5_an515-53-52fa_nh_q3zaa_001/catc839t14m3536582.html,https:/images/preload.gif
Ноутбук ASUS VivoBook K570UD (K570UD-DS74),от 17 599 грн. ,"Тип - Ноутбук Тип процессора - Intel Core i7-8550U Частота - 1,8-4,0 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_k570ud_k570ud-ds74/catc839t14m3706299.html,https:/images/preload.gif
Ноутбук HP 250 G6 (5PP11EA),от 10 999 грн. ,"Тип - Ноутбук Тип процессора - Intel Core i5-7200U Частота - 2,5 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.",https://price.ua/hp/hp_250_g6_5pp11ea/catc839t14m3890055.html,https:/images/preload.gif
Ноутбук ASUS VivoBook S15 S510UN Gold (S510UN-EH76),от 18 599 грн. ,"Тип - Ноутбук Тип процессора - Intel Core i7-8550U Частота - 1,8-4,0 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_s15_s510un_gold_s510un-eh76/catc839t14m3891418.html,https:/images/preload.gif
Ноутбук Xiaomi Mi Notebook Lite 15.6 Intel Core i5 MX110 4/128GB + 1TB HDD (JYU4081CN),15 099 грн. ,Тип - Ультрабук Тип процессора - 8250U Частота - 1.6 ГГц Диагональ экрана - 15.6 дюйм. Объем оперативной памяти - 4096 Мб,https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6ODp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InIiO2k6MDtzOjE6InQiO2k6NDtzOjE6InAiO2k6NDtzOjE6InkiO2k6MDtzOjE6s09rqn70095orpo188p3n1q01s5n0780Im0iO2k6MjtzOjE6ImYiO2k6MjtzOjE6ImUiO2k6NTt9czoxOiJ5IjtzOjEwOiI1MTIxOTgyMDU4IjtzOjE6ImMiO2k6MTtzOjM6ImNqcyI7aToxO30%3D,https:/images/preload.gif
Ноутбук Dell Inspiron 3580 (I355410DDW-75B),от 14 199 грн. ,Тип - Ноутбук Тип процессора - 8265U (Whiskey Lake) Частота - 1.6 - 3.9 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/dell/dell_inspiron_3580_i355410ddw-75b/catc839t14m4028612.html,https:/images/preload.gif
